Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite01,,,2018-08-02 14:55:14,2018-08-02 14:55:15,1.250s,FAILED
,,,,,,
Test Cases/TC_Login,,,2018-08-02 14:55:14,2018-08-02 14:55:15,0.742s,FAILED
openBrowser,,,2018-08-02 14:55:14,2018-08-02 14:55:15,0.547s,FAILED
,,,,,,
Test Cases/TC_Login,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.024s,FAILED
openBrowser,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.010s,FAILED
,,,,,,
Test Cases/TC_Login,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.041s,FAILED
openBrowser,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.013s,FAILED
,,,,,,
Test Cases/TC_Login,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.043s,FAILED
openBrowser,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.023s,FAILED
,,,,,,
Test Cases/TC_Login,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.029s,FAILED
openBrowser,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.016s,FAILED
,,,,,,
Test Cases/TC_Login,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.044s,FAILED
openBrowser,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.027s,FAILED
,,,,,,
Test Cases/TC_Login,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.023s,FAILED
openBrowser,,,2018-08-02 14:55:15,2018-08-02 14:55:15,0.014s,FAILED
